  gardener    florist    customer    flor    time

     0          0         0        1       10.1
     0          0         0        2       8.9
     0          0         0        3       11.4
     1          0         0        1       10.9
     1          0         0        2       6.9
     1          0         0        3       11.2
     0          1         0        1       9.6
     0          1         0        2       9.9
     0          1         0        3       11.3
     0          0         1        1       11.8
     0          0         1        2       9.7
     0          0         1        3       13.1
     1          1         0        1       9.8
     1          1         0        2       10.9
     1          1         0        3       12.3
     1          0         1        1       10.9
     1          0         1        2       7.7
     1          0         1        3       12.7
     0          1         1        1       12.8
     0          1         1        2       13.5
     0          1         1        3       14.9
     1          1         1        1       13.3
     1          1         1        2       13.4
     1          1         1        3       15.2
